"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"mu_b_asc",1.58426670941014,0.0739366456600682,21.4273543960052,0.154399530297094,10.2608259647015
"sigma_b_asc",2.42401001144109,0.0570310532146423,42.503335898744,0.117705714503479,20.5938175700843
"b_cost",-0.00487161815723694,0.000112466293831988,-43.3162505071483,0.000269590059207609,-18.0704665875137
"mu_b_wq_local_basin",-1.07585314646881,0.0845955348562315,-12.7176114944743,0.185712716315248,-5.7931043593296
"sigma_b_wq_local_basin",0.830305283706186,0.124039039359423,6.69390288730184,0.255289291105841,3.25240937490772
"mu_b_wq_nonlocal_basin",-0.746257645795778,0.0649696299179238,-11.4862536040074,0.124996891110185,-5.97020965215807
"sigma_b_wq_nonlocal_basin",0.386687278680264,0.140691245542355,2.74848145092193,0.259299559655382,1.49127626438774
"mu_b_wq_local_sub_basin",-0.69076528402098,0.0458094255875616,-15.0791081783077,0.0971499865005346,-7.11029727232313
"sigma_b_wq_local_sub_basin",0.523425989594744,0.0549458776150784,9.52621037853991,0.108017713099596,4.84574218963631
"mu_b_wq_nonlocal_sub_basin",-0.392110553582736,0.0395152874397105,-9.92300901723137,0.0814568387225396,-4.81372171731773
"sigma_b_wq_nonlocal_sub_basin",0.427029460334995,0.0516072513936588,8.27460189804773,0.120081563279602,3.55616173434289
"b_basewq",-0.0245639337080358,0.01871734482744,-1.31236208631604,0.0379517832784925,-0.64724056647837
